SEASON,GAME_ID,GAME_DATE
2022-23,0022200414,2022-12-14
2022-23,0022200415,2022-12-14
2022-23,0022200416,2022-12-14
2022-23,0022200417,2022-12-14
2022-23,0022200418,2022-12-14
2022-23,0022200419,2022-12-14
2022-23,0022200420,2022-12-14
2022-23,0022200421,2022-12-14
2022-23,0022200422,2022-12-14
2022-23,0022200423,2022-12-14
2022-23,0022200424,2022-12-15
2022-23,0022200425,2022-12-15
2022-23,0022200426,2022-12-15
2022-23,0022200427,2022-12-15
2022-23,0022200428,2022-12-16
2022-23,0022200429,2022-12-16
2022-23,0022200430,2022-12-16
2022-23,0022200431,2022-12-16
2022-23,0022200432,2022-12-16
2022-23,0022200433,2022-12-16
2022-23,0022200434,2022-12-16
2022-23,0022200435,2022-12-16
2022-23,0022200436,2022-12-16
2022-23,0022200437,2022-12-16
2022-23,0022200438,2022-12-17
2022-23,0022200439,2022-12-17
2022-23,0022200440,2022-12-17
2022-23,0022200441,2022-12-17
2022-23,0022200442,2022-12-17
2022-23,0022200443,2022-12-17
2022-23,0022200444,2022-12-17
2022-23,0022200445,2022-12-18
2022-23,0022200446,2022-12-18
2022-23,0022200447,2022-12-18
2022-23,0022200448,2022-12-18
2022-23,0022200449,2022-12-18
2022-23,0022200450,2022-12-18
2022-23,0022200451,2022-12-18
2022-23,0022200452,2022-12-19
2022-23,0022200453,2022-12-19
2022-23,0022200454,2022-12-19
2022-23,0022200455,2022-12-19
2022-23,0022200456,2022-12-19
2022-23,0022200457,2022-12-19
2022-23,0022200458,2022-12-19
2022-23,0022200459,2022-12-19
2022-23,0022200460,2022-12-19
2022-23,0022200461,2022-12-20
2022-23,0022200462,2022-12-20
2022-23,0022200463,2022-12-20
2022-23,0022200464,2022-12-20
2022-23,0022200465,2022-12-20
2022-23,0022200466,2022-12-21
2022-23,0022200467,2022-12-21
2022-23,0022200468,2022-12-21
2022-23,0022200469,2022-12-21
2022-23,0022200470,2022-12-21
2022-23,0022200471,2022-12-21
2022-23,0022200472,2022-12-21
2022-23,0022200473,2022-12-21
2022-23,0022200474,2022-12-21
2022-23,0022200475,2022-12-21
2022-23,0022200476,2022-12-21
2022-23,0022200477,2022-12-22
2022-23,0022200478,2022-12-22
2022-23,0022200479,2022-12-23
2022-23,0022200480,2022-12-23
2022-23,0022200481,2022-12-23
2022-23,0022200482,2022-12-23
2022-23,0022200483,2022-12-23
2022-23,0022200484,2022-12-23
2022-23,0022200485,2022-12-23
2022-23,0022200486,2022-12-23
2022-23,0022200487,2022-12-23
2022-23,0022200488,2022-12-23
2022-23,0022200489,2022-12-23
2022-23,0022200490,2022-12-23
2022-23,0022200491,2022-12-23
2022-23,0022200492,2022-12-23
2022-23,0022200493,2022-12-25
2022-23,0022200494,2022-12-25
2022-23,0022200495,2022-12-25
2022-23,0022200496,2022-12-25
2022-23,0022200497,2022-12-25
2022-23,0022200498,2022-12-26
2022-23,0022200499,2022-12-26
2022-23,0022200500,2022-12-26
2022-23,0022200501,2022-12-26
2022-23,0022200502,2022-12-26
2022-23,0022200503,2022-12-26
2022-23,0022200504,2022-12-26
2022-23,0022200505,2022-12-27
2022-23,0022200506,2022-12-27
2022-23,0022200507,2022-12-27
2022-23,0022200508,2022-12-27
2022-23,0022200509,2022-12-27
2022-23,0022200510,2022-12-27
2022-23,0022200511,2022-12-27
2022-23,0022200512,2022-12-27
2022-23,0022200513,2022-12-27
2022-23,0022200514,2022-12-27
2022-23,0022200515,2022-12-28
2022-23,0022200516,2022-12-28
2022-23,0022200517,2022-12-28
2022-23,0022200518,2022-12-28
2022-23,0022200519,2022-12-28
2022-23,0022200520,2022-12-28
2022-23,0022200521,2022-12-28
2022-23,0022200522,2022-12-28
2022-23,0022200523,2022-12-29
2022-23,0022200524,2022-12-29
2022-23,0022200525,2022-12-29
2022-23,0022200526,2022-12-29
2022-23,0022200527,2022-12-29
2022-23,0022200528,2022-12-29
2022-23,0022200529,2022-12-30
2022-23,0022200530,2022-12-30
2022-23,0022200531,2022-12-30
2022-23,0022200532,2022-12-30
2022-23,0022200533,2022-12-30
2022-23,0022200534,2022-12-30
2022-23,0022200535,2022-12-30
2022-23,0022200536,2022-12-30
2022-23,0022200537,2022-12-30
2022-23,0022200538,2022-12-31
2022-23,0022200539,2022-12-31
2022-23,0022200540,2022-12-31
2022-23,0022200541,2022-12-31
2022-23,0022200542,2022-12-31
2022-23,0022200543,2022-12-31
2022-23,0022200544,2022-12-31
2022-23,0022200545,2022-12-31
2022-23,0022200546,2022-12-31
2022-23,0022200547,2023-01-01
2022-23,0022200548,2023-01-01
2022-23,0022200549,2023-01-01
2022-23,0022200550,2023-01-02
2022-23,0022200551,2023-01-02
2022-23,0022200552,2023-01-02
2022-23,0022200553,2023-01-02
2022-23,0022200554,2023-01-02
2022-23,0022200555,2023-01-02
2022-23,0022200556,2023-01-02
2022-23,0022200557,2023-01-02
2022-23,0022200558,2023-01-02
2022-23,0022200559,2023-01-02
2022-23,0022200560,2023-01-02
2022-23,0022200561,2023-01-03
2022-23,0022200562,2023-01-03
2022-23,0022200563,2023-01-03
2022-23,0022200564,2023-01-04
2022-23,0022200565,2023-01-04
2022-23,0022200566,2023-01-04
2022-23,0022200567,2023-01-04
2022-23,0022200568,2023-01-04
2022-23,0022200569,2023-01-04
2022-23,0022200570,2023-01-04
2022-23,0022200571,2023-01-04
2022-23,0022200572,2023-01-04
2022-23,0022200573,2023-01-04
2022-23,0022200574,2023-01-04
2022-23,0022200575,2023-01-04
2022-23,0022200576,2023-01-05
2022-23,0022200577,2023-01-05
2022-23,0022200578,2023-01-05
2022-23,0022200579,2023-01-05
2022-23,0022200580,2023-01-06
2022-23,0022200581,2023-01-06
2022-23,0022200582,2023-01-06
2022-23,0022200583,2023-01-06
2022-23,0022200584,2023-01-06
2022-23,0022200585,2023-01-06
2022-23,0022200586,2023-01-06
2022-23,0022200587,2023-01-06
2022-23,0022200588,2023-01-06
2022-23,0022200589,2023-01-06
2022-23,0022200590,2023-01-06
2022-23,0022200591,2023-01-07
2022-23,0022200592,2023-01-07
2022-23,0022200593,2023-01-07
2022-23,0022200594,2023-01-07
2022-23,0022200595,2023-01-07
2022-23,0022200596,2023-01-08
2022-23,0022200597,2023-01-08
2022-23,0022200598,2023-01-08
2022-23,0022200599,2023-01-08
2022-23,0022200600,2023-01-08
2022-23,0022200601,2023-01-08
2022-23,0022200602,2023-01-08
2022-23,0022200603,2023-01-08
2022-23,0022200604,2023-01-08
2022-23,0022200605,2023-01-09
2022-23,0022200606,2023-01-09
2022-23,0022200607,2023-01-09
2022-23,0022200608,2023-01-09
2022-23,0022200609,2023-01-09
2022-23,0022200610,2023-01-09
2022-23,0022200611,2023-01-10
2022-23,0022200612,2023-01-10
2022-23,0022200613,2023-01-10
2022-23,0022200614,2023-01-10
2022-23,0022200615,2023-01-10
2022-23,0022200616,2023-01-10
2022-23,0022200617,2023-01-10
2022-23,0022200618,2023-01-11
2022-23,0022200619,2023-01-11
2022-23,0022200620,2023-01-11
2022-23,0022200621,2023-01-11
2022-23,0022200622,2023-01-11
2022-23,0022200623,2023-01-11
2022-23,0022200624,2023-01-11
2022-23,0022200625,2023-01-11
2022-23,0022200626,2023-01-12
2022-23,0022200627,2023-01-12
2022-23,0022200628,2023-01-12
2022-23,0022200629,2023-01-12
2022-23,0022200630,2023-01-12
2022-23,0022200631,2023-01-12
2022-23,0022200632,2023-01-13
2022-23,0022200633,2023-01-13
2022-23,0022200634,2023-01-13
2022-23,0022200635,2023-01-13
2022-23,0022200636,2023-01-13
2022-23,0022200637,2023-01-13
2022-23,0022200638,2023-01-13
2022-23,0022200639,2023-01-13
2022-23,0022200640,2023-01-13
2022-23,0022200641,2023-01-14
2022-23,0022200642,2023-01-14
2022-23,0022200643,2023-01-14
2022-23,0022200644,2023-01-14
2022-23,0022200645,2023-01-14
2022-23,0022200646,2023-01-14
2022-23,0022200647,2023-01-14
2022-23,0022200648,2023-01-15
2022-23,0022200649,2023-01-15
2022-23,0022200650,2023-01-15
2022-23,0022200651,2023-01-15
2022-23,0022200652,2023-01-15
2022-23,0022200653,2023-01-15
2022-23,0022200654,2023-01-15
2022-23,0022200655,2023-01-15
2022-23,0022200656,2023-01-16
2022-23,0022200657,2023-01-16
2022-23,0022200658,2023-01-16
2022-23,0022200659,2023-01-16
2022-23,0022200660,2023-01-16
2022-23,0022200661,2023-01-16
2022-23,0022200662,2023-01-16
2022-23,0022200663,2023-01-16
2022-23,0022200664,2023-01-16
2022-23,0022200665,2023-01-17
2022-23,0022200666,2023-01-17
2022-23,0022200667,2023-01-17
2022-23,0022200668,2023-01-17
2022-23,0022200669,2023-01-18
2022-23,0022200670,2023-01-18
2022-23,0022200671,2023-01-18
2022-23,0022200672,2023-01-18
2022-23,0022200673,2023-01-18
2022-23,0022200674,2023-01-18
2022-23,0022200675,2023-01-18
2022-23,0022200676,2023-01-18
2022-23,0022200677,2023-01-18
2022-23,0022200678,2023-01-19
2022-23,0022200679,2023-01-19
2022-23,0022200680,2023-01-19
2022-23,0022200681,2023-01-19
2022-23,0022200682,2023-01-19
2022-23,0022200683,2023-01-20
2022-23,0022200684,2023-01-20
2022-23,0022200685,2023-01-20
2022-23,0022200686,2023-01-20
2022-23,0022200687,2023-01-20
2022-23,0022200688,2023-01-20
2022-23,0022200689,2023-01-20
2022-23,0022200690,2023-01-20
2022-23,0022200691,2023-01-20
2022-23,0022200692,2023-01-21
2022-23,0022200693,2023-01-21
2022-23,0022200694,2023-01-21
2022-23,0022200695,2023-01-21
2022-23,0022200696,2023-01-21
2022-23,0022200697,2023-01-21
2022-23,0022200698,2023-01-21
2022-23,0022200699,2023-01-22
2022-23,0022200700,2023-01-22
2022-23,0022200701,2023-01-22
2022-23,0022200702,2023-01-22
2022-23,0022200703,2023-01-22
2022-23,0022200704,2023-01-22
2022-23,0022200705,2023-01-22
2022-23,0022200706,2023-01-23
2022-23,0022200707,2023-01-23
2022-23,0022200708,2023-01-23
2022-23,0022200709,2023-01-23
2022-23,0022200710,2023-01-23
2022-23,0022200711,2023-01-23
2022-23,0022200712,2023-01-23
2022-23,0022200713,2023-01-24
2022-23,0022200714,2023-01-24
2022-23,0022200715,2023-01-24
2022-23,0022200716,2023-01-24
2022-23,0022200717,2023-01-24
2022-23,0022200718,2023-01-24
2022-23,0022200719,2023-01-24
2022-23,0022200720,2023-01-25
2022-23,0022200721,2023-01-25
2022-23,0022200722,2023-01-25
2022-23,0022200723,2023-01-25
2022-23,0022200724,2023-01-25
2022-23,0022200725,2023-01-25
2022-23,0022200726,2023-01-25
2022-23,0022200727,2023-01-25
2022-23,0022200728,2023-01-25
2022-23,0022200729,2023-01-25
2022-23,0022200730,2023-01-26
2022-23,0022200731,2023-01-26
2022-23,0022200732,2023-01-26
2022-23,0022200733,2023-01-26
2022-23,0022200734,2023-01-26
2022-23,0022200735,2023-01-26
2022-23,0022200736,2023-01-27
2022-23,0022200737,2023-01-27
2022-23,0022200738,2023-01-27
2022-23,0022200739,2023-01-27
2022-23,0022200740,2023-01-27
2022-23,0022200741,2023-01-28
2022-23,0022200742,2023-01-28
2022-23,0022200743,2023-01-28
2022-23,0022200744,2023-01-28
2022-23,0022200745,2023-01-28
2022-23,0022200746,2023-01-28
2022-23,0022200747,2023-01-28
2022-23,0022200748,2023-01-28
2022-23,0022200749,2023-01-28
2022-23,0022200750,2023-01-28
2022-23,0022200751,2023-01-28
2022-23,0022200752,2023-01-29
2022-23,0022200753,2023-01-29
2022-23,0022200754,2023-01-29
2022-23,0022200755,2023-01-29
2022-23,0022200756,2023-01-30
2022-23,0022200757,2023-01-30
2022-23,0022200758,2023-01-30
2022-23,0022200759,2023-01-30
2022-23,0022200760,2023-01-30
2022-23,0022200761,2023-01-30
2022-23,0022200762,2023-01-30
2022-23,0022200763,2023-01-30
2022-23,0022200764,2023-01-31
2022-23,0022200765,2023-01-31
2022-23,0022200766,2023-01-31
2022-23,0022200767,2023-01-31
2022-23,0022200768,2023-01-31
2022-23,0022200770,2023-02-01
2022-23,0022200771,2023-02-01
2022-23,0022200772,2023-02-01
2022-23,0022200773,2023-02-01
2022-23,0022200774,2023-02-01
2022-23,0022200775,2023-02-01
2022-23,0022200776,2023-02-01
2022-23,0022200777,2023-02-01
2022-23,0022200778,2023-02-02
2022-23,0022200779,2023-02-02
2022-23,0022200780,2023-02-02
2022-23,0022200781,2023-02-02
2022-23,0022200782,2023-02-02
2022-23,0022200783,2023-02-02
2022-23,0022200784,2023-02-02
2022-23,0022200785,2023-02-03
2022-23,0022200786,2023-02-03
2022-23,0022200787,2023-02-03
2022-23,0022200788,2023-02-03
2022-23,0022200789,2023-02-03
2022-23,0022200790,2023-02-03
2022-23,0022200791,2023-02-03
2022-23,0022200792,2023-02-03
2022-23,0022200793,2023-02-04
2022-23,0022200794,2023-02-04
2022-23,0022200795,2023-02-04
2022-23,0022200796,2023-02-04
2022-23,0022200797,2023-02-04
2022-23,0022200798,2023-02-04
2022-23,0022200799,2023-02-04
2022-23,0022200800,2023-02-04
2022-23,0022200801,2023-02-04
2022-23,0022200802,2023-02-05
2022-23,0022200803,2023-02-05
2022-23,0022200804,2023-02-05
2022-23,0022200805,2023-02-05
2022-23,0022200806,2023-02-05
2022-23,0022200807,2023-02-05
2022-23,0022200808,2023-02-06
2022-23,0022200809,2023-02-06
2022-23,0022200810,2023-02-06
2022-23,0022200811,2023-02-06
2022-23,0022200812,2023-02-06
2022-23,0022200813,2023-02-06
